File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample organism	Biosample treatments	Biosample treatments amount	Biosample treatments duration	Biosample genetic modifications methods	Biosample genetic modifications categories	Biosample genetic modifications targets	Biosample genetic modifications gene targets	Biosample genetic modifications site coordinates	Biosample genetic modifications zygosity	Experiment target	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Genome annotation	Platform	Controlled by	File Status	Restricted	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF837BXN	fastq	reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2	1	100		paired-ended	1	ENCFF361LFF		2415027285	Brenton Graveley, UConn	8e9b0519e9d9c8e3cf43fb804b254911		https://www.encodeproject.org/files/ENCFF837BXN/@@download/ENCFF837BXN.fastq.gz			Illumina HiSeq 2500	/files/ENCFF533YPF/	released			experiment not submitted to GEO		
ENCFF212IXF	fastq	reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1	1	100		paired-ended	2	ENCFF309DSM		2425763621	Brenton Graveley, UConn	ce009730a78e010c87ec815a7fcc7406		https://www.encodeproject.org/files/ENCFF212IXF/@@download/ENCFF212IXF.fastq.gz			Illumina HiSeq 2500	/files/ENCFF895FLC/	released			experiment not submitted to GEO		
ENCFF962DFV	bam	alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1							ENCFF212IXF, ENCFF309DSM	3321676810	Brenton Graveley, UConn	2f64ed2a200d56479b574f365fd15252		https://www.encodeproject.org/files/ENCFF962DFV/@@download/ENCFF962DFV.bam	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF546KFT	bigWig	plus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1	1						ENCFF962DFV	88373932	Brenton Graveley, UConn	c45a66fac1bb5d708348b742f5139153		https://www.encodeproject.org/files/ENCFF546KFT/@@download/ENCFF546KFT.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF361LFF	fastq	reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2	1	100		paired-ended	2	ENCFF837BXN		2369189794	Brenton Graveley, UConn	a5cc9fc44d04d0e02e1c78cf796c0222		https://www.encodeproject.org/files/ENCFF361LFF/@@download/ENCFF361LFF.fastq.gz			Illumina HiSeq 2500	/files/ENCFF741QDA/	released			experiment not submitted to GEO		
ENCFF611HKY	bam	alignments	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2							ENCFF361LFF, ENCFF837BXN	3345424018	Brenton Graveley, UConn	77ca0124b9fcc9b1fc9a925e5f26af52		https://www.encodeproject.org/files/ENCFF611HKY/@@download/ENCFF611HKY.bam	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF200HHZ	bigWig	minus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				2	1						ENCFF611HKY	92706096	Brenton Graveley, UConn	2e9ffa8292ecbe549593e4ccb90e22aa		https://www.encodeproject.org/files/ENCFF200HHZ/@@download/ENCFF200HHZ.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF153GTZ	bigWig	plus strand signal of all reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1	1						ENCFF962DFV	96299908	Brenton Graveley, UConn	145a9af2698c5a7e2c6b688cb1d8e40a		https://www.encodeproject.org/files/ENCFF153GTZ/@@download/ENCFF153GTZ.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
ENCFF309DSM	fastq	reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1	1	100		paired-ended	1	ENCFF212IXF		2415623129	Brenton Graveley, UConn	aa5a5a25f2e23ea4cd32edd166082617		https://www.encodeproject.org/files/ENCFF309DSM/@@download/ENCFF309DSM.fastq.gz			Illumina HiSeq 2500	/files/ENCFF653POC/	released			experiment not submitted to GEO		
ENCFF612TED	bigWig	minus strand signal of unique reads	ENCSR148UGK	CRISPR genome editing followed by RNA-seq	EFO:0002067	K562	cell line	Homo sapiens				CRISPR	deletion	/targets/DGCR8-human/				DGCR8-human	polyadenylated mRNA		Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)	Maxwell 16 LEV simpleRNA Cells Kit (Promega cat#: AS1270)		True	2016-03-23	ENCODE				1	1						ENCFF962DFV	86206394	Brenton Graveley, UConn	7e7077f26e3a6fdb9a7c478884f4a7b3		https://www.encodeproject.org/files/ENCFF612TED/@@download/ENCFF612TED.bigWig	hg19				released		missing analysis_step_run	experiment not submitted to GEO		
